id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
26,0.116214,0.116222,0.116222,0.040037,0.079402,0.890625,3997.378906
27,0.114687,0.114623,0.114623,0.039813,0.090563,0.937500,4025.128906
28,0.115572,0.115548,0.115548,0.039967,0.080939,0.921875,4035.972656
29,0.112596,0.112584,0.112584,0.040282,0.078837,0.929688,3991.628906
30,0.113434,0.113407,0.113407,0.039631,0.083600,0.886719,3998.789062
31,0.106151,0.106136,0.106136,0.038509,0.072699,0.910156,4026.035156
32,0.111569,0.111505,0.111505,0.040398,0.085525,0.921875,4016.414062
33,0.109779,0.109723,0.109723,0.040550,0.079840,0.929688,4019.476562
34,0.109593,0.109529,0.109529,0.040537,0.072939,0.914062,4040.289062
35,0.113467,0.113382,0.113382,0.041183,0.073670,0.949219,4054.339844
36,0.107808,0.107727,0.107727,0.043569,0.074759,0.937500,4057.960938
37,0.117876,0.117809,0.117809,0.045873,0.076277,0.949219,4071.933594
38,0.112255,0.112244,0.112244,0.046533,0.080286,0.929688,4024.585938
39,0.108172,0.108110,0.108110,0.045468,0.073666,0.914062,3990.988281
40,0.106846,0.106843,0.106843,0.044952,0.072301,0.914062,4011.699219
41,0.114307,0.114256,0.114256,0.046271,0.108495,0.929688,4042.828125
42,0.108586,0.108526,0.108526,0.045939,0.075220,0.976562,4080.628906
43,0.112403,0.112324,0.112324,0.048264,0.075844,0.960938,4079.492188
44,0.115731,0.115661,0.115661,0.050166,0.081439,0.914062,4023.898438
45,0.106862,0.106859,0.106859,0.048419,0.073059,0.937500,4047.503906
46,0.105974,0.105957,0.105957,0.047930,0.074205,0.945312,4067.886719
47,0.102110,0.102100,0.102100,0.047145,0.072177,0.945312,4041.828125
48,0.109403,0.109382,0.109382,0.050695,0.074826,0.949219,4060.148438
49,0.104303,0.104275,0.104275,0.048648,0.071779,0.910156,4006.992188
50,0.108107,0.108102,0.108102,0.049022,0.073457,0.914062,4046.355469
51,0.106154,0.106123,0.106123,0.048956,0.072293,0.910156,4039.242188
52,0.103450,0.103362,0.103362,0.049743,0.073868,0.929688,3998.343750
53,0.115146,0.115051,0.115051,0.049011,0.074250,0.925781,4038.574219
54,0.107248,0.107182,0.107182,0.047904,0.074083,0.890625,4003.437500
55,0.105780,0.105767,0.105767,0.049909,0.071416,0.941406,4021.476562
56,0.105577,0.105611,0.105611,0.048216,0.075053,0.953125,4059.781250
57,0.105461,0.105412,0.105412,0.049540,0.071941,0.921875,4014.308594
58,0.108569,0.108578,0.108578,0.048575,0.071047,0.964844,4069.359375
59,0.112865,0.112809,0.112809,0.050985,0.075897,0.937500,4053.726562
60,0.115611,0.115568,0.115568,0.052440,0.077068,0.933594,3992.738281
61,0.112863,0.112866,0.112866,0.052071,0.075863,0.937500,4033.535156
62,0.113029,0.113003,0.113003,0.050336,0.076340,0.921875,4031.906250
63,0.108363,0.108288,0.108288,0.049060,0.075711,0.914062,3983.492188
64,0.108754,0.108704,0.108704,0.049857,0.074925,0.894531,3960.351562
65,0.109616,0.109569,0.109569,0.051154,0.071625,0.898438,4027.386719
66,0.110025,0.109982,0.109982,0.051853,0.073158,0.917969,4004.480469
67,0.112549,0.112528,0.112528,0.053799,0.072870,0.902344,3985.800781
